codigo;produto;quantidade;ref;preco
4096;PINOS M¡GICOS CX C/ 170 P«S;0;90;69.9
9728;JOGO T√Å NA CARA NARUTO SHIPPUDEN;0;1220;59.9
4097;JOGO TORRE CONGELANTE - FROZEN;0;945;89.9
9729;CARDS COLECIONAVEIS - NARUTO SHIPPUDEN;0;1209;8.9
2;GINA GIRAFA;6;286;79.9
4098;PALHA«O SAPEKA;0;978;49.9
9730;PUZZLE PLAY - 200 PCS - NARUTO SHIPPUDEN;0;1153;49.9
3;MARACAS;0;745;44.9
9731;CHOCALHO & MORDEDOR GIRA GIRA - GALINHA PINTADINHA MINI;0;1028;27.9
9732;PINTINHO AMARELINHO MUSICAL - GALINHA PINTADINHA MINI;5;1208;129.9
5;BI BI FOM FOM;0;524;89.9
9733;PET SHOP DA MINNIE;3;1178;169.9
9734;FOFO BLOCOS - VAN ESCOLAR;0;1211;114.9
2319;ZUQUINHA;3;1006;169.9
2320;ZOOM - LANCADOR E ALVO;0;1043;49.9
7184;KIT NINJA - NARUTO SHIPPUDEN;0;1188;84.9
2321;ARCO E DARDOS;0;463;99.9
7185;CUBO ENTRELA√?ADO;2;1171;129.9
2322;MAXI PEGA VARETA - NOVO;4;513;69.9
2323;ROBY - ROBO DE ATIVIDADES;0;671;99.9
2324;DR. (A) DODOI;1;951;99.9
279;MICKEY RADICAL;3;900;149.9
8986;MEMO MIX - COCOMELON;0;1202;69.9
8987;CHOCALHO MICKEY;0;1059;27.9
28;MATRIOSKA 943;0;943;59.9
8988;CHOCALHO MINNIE;0;1060;27.9
13343;JOGO CAMPO MINADO LUCCAS NETO;1;1221;84.9
13344;MORDEDOR VIDEO GAME - ROSA;4;1244;24.9
13345;BINGO;0;1250;99.9
13346;CESTA DE BASQUETE NBA;1;1260;119.9
13347;MORDEDOR VIDEO GAME - AZUL;5;1264;24.9
13348;ARTS KIT PINTURA - CHASE;0;1273;79.9
13349;PUZZLE PLAY 200 PECAS - DRAGON BALL Z;0;1282;49.9
13350;JOGO MEMO PLAY STITCH;0;1284;49.9
13351;¡BACO;1;512;69.9
16680;PLAYSET BLOCOS MAGICOS 40 PECAS FROZEN;0;1307;159.9
16681;JOGO OLHO MAGICO DA BARBIE;0;1330;79.9
16682;ARTS KIT PINTURA EMILLY VICK;6;1339;79.9
6448;FAM√çLIA - GALINHA PINTADINHA;0;1128;139.9
6449;MENINO GATO - PJ MASKS;0;1136;74.9
54;BATE BOLINHA - DISCO VOADOR 949;0;949;69.9
5181;LEV-PAG;0;281;89.9
11325;MORDEDOR ESCOVINHA - ROSA;4;1253;17.9
5182;BABY VAN GALINHA PINTADINHA;3;857;79.9
11326;CASA DA ARVORE;1;1214;139.9
5183;MEU LIVRINHO GALINHA PINTADINHA;0;940;69.9
11327;GIRA GIRA TUBARAO;3;1239;129.9
5184;MEU LIVRINHO SONORO - TOY STORY BABY;0;1105;49.9
11328;JOGO KAZAA JUNIOR - SPIDER-MAN;0;1243;59.9
5185;FOFO BLOCOS - FAZENDINHA;0;1093;99.9
11329;JOGO TRIM TRIM AVENGERS;0;1241;79.9
5186;SOS RESGATE - BOMBEIRO;0;1118;99.9
11330;JOGO TRILHA - FROZEN;1;1232;99.9
5187;SOS RESGATE - AMBUL√ÇNCIA;0;1119;99.9
11331;JOGO TRIM TRIM - PRINCESAS;0;1233;79.9
5188;CHOCALHO ESTICADINHO - BABY SHARK;0;1144;24.9
11332;PUZZLE PLAY VIAGEM PELO MUNDO 214 P«S - L.O.L SURPRISE;0;1191;49.9
5189;MINHA BANDINHA - PATRULHA CANINA;0;1142;46.9
11333;PUZZLE PLAY 500 PECAS - NBA;0;1259;74.9
5190;CHOCALHO ESTICADINHO - LE√ÉO;0;1111;22.9
11334;JOGO KAZAA - NBA;0;1257;59.9
5191;CHOCALHO ESTICADINHO - ELEFANTE;0;1110;22.9
11335;JOGO NBA PLAYOFFS;2;1255;84.9
5192;JOGO TOPA OU N√ÉO TOPA - SBT;0;1151;84.9
11336;JOGO TRILHA HARRY POTTER;3;1266;99.9
7755;JOGO RODA A RODA JEQUITI - SBT;0;1150;84.9
7756;CUBO DE ENCAIXES - BABY SHARK;0;1184;84.9
15183;XADREZ E DAMA EDUCATIVO;2;1276;99.9
3920;BONECA AVENTUREIRA VERMELHA - LUCCAS NETO;0;1126;59.9
15184;JOGO BINGO CLASSICO;1;1296;94.9
3921;BONECO LUCCAS NETO - LUCCAS NETO;0;1125;29.9
15185;JOGO DO CHURRASCO;1;1298;79.9
15186;TINA REX PAPA TUDO;4;1299;99.9
15187;VAMOS PASSEAR GALINHA PINTADINHA;1;1303;99.9
15188;ARTS KIT PINTURA BLUEY E BINGO;0;1311;94.9
15189;GUITARRA BLUEY;1;1312;54.9
15190;MARACA E PANDEIRO BLUEY;0;1313;57.9
15191;BOLSINHA DA MAMAE BABY ALIVE;3;1319;89.9
15192;PUZZLE PLAY 100 PECAS - LENTE MAGICA - ONE PIECE;0;1331;44.9
15193;SPLASH MANIA STITCH;3;1333;89.9
5744;PIPINELA PEPPA;0;917;89.9
1905;MEU AMIGO BUZZ LIGHTYEAR;1;1042;139.9
5745;BONECO BABY SHARK;0;1120;54.9
5746;VIOL√ÉO SONORO GALINHA PINTADINHA;0;877;69.9
5747;CUBO DE ENCAIXES;0;1024;49.9
4725;NINA UNIC”RNIO - COLE«√O CORRE CORRE;0;1117;64.9
4726;ENCAIXE COR - MONTE E ASSOCIE AS CORES;0;1146;79.9
4727;MORDEDOR ESCOVINHA;6;1145;17.9
10615;DINOZOOM;0;1174;99.9
4728;VIOL√O - PATRULHA CANINA;4;1143;89.9
10616;JOGO CHAVE M¡GICA - PATRULHA CANINA;1;1219;99.9
4729;BUMBO - PATRULHA CANINA;0;1141;84.9
10617;CHOCALHO PLUTO;0;1223;22.9
4730;OLAF - 14 P«S - FROZEN;0;954;84.9
10618;BOLSINHA BIJU ENCANTO;0;1234;89.9
4731;FOFO BLOCOS 15 PE«AS GALINHA PINTADINHA MINI;0;1047;94.9
10619;ENCAIXE FORMAS - PLUTO;0;1235;79.9
4732;FOFO BLOCOS BARCO PIRATA - 13 PE«AS;6;1045;129.9
10620;JOGO O CHAO E LAVA - PATRULHA CANINA;0;1246;64.9
4733;MAPA DO BRASIL 3D PL¡STICO;0;1109;69.9
10621;BINGO DA BINGO - BLUEY;6;1251;39.9
4734;JOGO PAPA BOLINHA - ELEMENTOS DA NATUREZA - FROZEN II;0;1147;54.9
10622;PUZZLE PLAY 60 PECAS - LENTE MAGICA - BLUEY;1;1252;44.9
2687;DOUTOR (A) PET;0;1048;79.9
4735;QUEBRA CABE«A E JG MEM”RIA - RICKY ZOOM;0;1138;29.9
10623;JOGO LANCE LIVRE - NBA;4;1256;89.9
2688;SENHOR (A) DETETIVE;0;1049;69.9
4736;JOGO PAPA BOLINHA - PATRULHA CANINA;0;1137;54.9
10624;PUZZLE PLAY 200 PECAS - NBA;1;1258;54.9
2689;RODA PI√O;0;1051;49.9
4737;PUXA ESPINHO;0;1091;79.9
9857;BOLSINHA FASHION BIJU - L.O.L. SURPRISE;1;1196;99.9
10625;MONTA PALAVRAS ALFABETO - PATRULHA CANINA;0;1268;54.9
2690;ACERTE O ALVO - NERF;0;1058;39.9
4738;KIT LETRAS ALFABETO;0;840;29.9
9858;JOGO TIRA VARETAS - AVENGERS;0;1215;99.9
2691;MORDEDOR MEU PET AU AU;0;1071;12.9
9859;JOGO SPIDEY BALL;1;1218;99.9
2692;MORDEDOR MEU PET MIAU;0;1072;12.9
2693;TELEFONE SONORO GALINHA PINTADINHA MINI;2;1087;99.9
2694;FAZENDINHA DA GALINHA - GALINHA PINTADINHA MINI;4;1088;109.9
2695;CHOCALHO & MORDEDOR - BICHITOS;0;1092;19.9
2696;HELIC”PTERO - PEPPA PIG;0;1100;59.9
2697;ENCAIXE COR - PATRULHA CANINA;0;1103;69.9
7049;BONECO MICKEY;0;1175;44.9
2698;ELSA - FROZEN;3;947;149.9
7050;BONECA MINNIE;0;1176;44.9
2699;CASTELO CONGELANTE - FROZEN;0;962;99.9
7051;REL√?MPAGO MCQUEEN;0;1182;119.9
2700;DINO PAPA TUDO;1;972;99.9
7052;BATE REBATE - MINHOQUINHAS;0;1172;99.9
2701;HORA DO FAZ DE CONTA - BABY ALIVE - BOLSINHA DA MAM√E;0;987;49.9
7053;CAIXA DE BRINCADEIRAS;2;1135;109.9
1934;GALINHA PINTADINHA MINI MUSICAL;3;1044;129.9
2702;GEORGE - PEPPA PIG;6;998;59.9
